number,grade,module,week,question_stem,choice,correct_answer
2644,14,1,4,35. 下列萎缩中不属于病理性萎缩的是:(2.5分),A.晚期食管癌患者的肝  B.晚期原发性高血压病人的肾 C.老年女性的卵巢  D.截瘫病人的双下肢,C.老年女性的卵巢
2645,14,1,4,36. 气球样变的细胞最常见于:(2.5分),A.心 B.肝       C.肾       D.脑      E.脾,B.肝
2646,14,1,4,37. 细胞内线粒体肿大、内质网扩张常见于(2.5分),A.水变性 B.脂肪变性  C.玻璃样变性  D.纤维素样变性  E.钙化,A.水变性
2647,14,1,4,38. 男性，60岁，因胃癌广泛转移而死亡。尸体解剖检查，心脏重200g。切片检查心肌细胞核两侧可见黄褐色细颗粒状色素，此色素可能是：(2.5分),A.黑色素 B.胆色素  C.含铁血黄素   D.脂褐素   E.前角蛋白聚集 ,D.脂褐素
2649,14,1,4,40. 下列属于完全性再生的是： (2.5分),A.胃溃疡愈合  B.皮肤溃疡愈合  C.肺空洞愈合  D.肝细胞点、灶状坏死愈合  E.心肌梗死灶的修复 ,D.肝细胞点、灶状坏死愈合  E.心肌梗死灶的修复 
3251,16,1,4,2. 细胞内出现下列哪种色素表示细胞萎缩？(2.5分),A.胆色素       B.疟色素       C.脂褐素      D.黑色素       E.含铁血黄素,C.脂褐素
3252,16,1,4,3. 体积增大的肾萎缩见于(2.5分),A.原发性高血压晚期 B.慢性硬化性肾小球肾炎（慢性肾小球肾炎） C.慢性肾盂肾炎 D.严重的肾盂积水 E.肾动脉粥样硬化,D.严重的肾盂积水
3253,16,1,4,4. 细胞缺氧时最常见的变化是(2.5分),A.内质网扩张 B.核糖体脱落 C.线粒体肿胀 D.溶酶体增多 E.脂褐素增多,C.线粒体肿胀
3254,16,1,4,5. 下列细胞器中对缺氧最敏感的是(2.5分),A.溶酶体 B.线粒体 C.光面内质网 D.粗面内质网 E.高尔基器,B.线粒体
3255,16,1,4,6. 缺氧时，细胞最早出现的变化是(2.5分),A.细胞形态 B.细胞代谢 C.细胞功能 D.细胞器形态 E.细胞核形态,B.细胞代谢
3257,16,1,4,8. 蓄积于细胞质内的脂肪可被下列哪种染色染成桔红色？(2.5分),A.刚果红染色 B.苏丹Ⅲ染色 C.甲基紫染色 D.PAS染色 E.锇酸染色,B.苏丹Ⅲ染色
3259,16,1,4,10. 下述器官体积增大仅由肥大引起的是(2.5分),A.哺乳期乳腺 B.功能亢进的甲状腺 C.运动员的与运动有关的骨骼肌 D.妊娠期子宫 E.垂体ACTH细胞腺瘤病人的肾上腺,C.运动员的与运动有关的骨骼肌
3260,16,1,4,11. 下列疾病均可发生纤维结缔组织的透明变性，除外(2.5分),A.纤维蛋白（纤维素）性胸膜炎 B.硅沉着病 C.慢性胃炎 D.慢性硬化性肾小球肾炎（慢性肾小球肾炎） E.心肌梗死,C.慢性胃炎
3261,16,1,4,12. 下列病变均可发生营养不良性钙化，除外(2.5分),A.胰腺炎时的脂肪坏死 B.结核病时的干酪样坏死 C.结缔组织的透明变性 D.血吸虫病时的虫卵结节 E.维生素D摄入过多后的胃黏膜,E.维生素D摄入过多后的胃黏膜
3264,16,1,4,15. 化学毒物体内生物转化I相反应的酶主要存在于(2.5分),A.内质网  B.线粒体 C.细胞膜  D.细胞核,A.内质网
3266,16,1,4,17. 湿性坏疽多见于与外界相通的哪些脏器？(2.5分),A.食管、胃、肠 B.胆囊、肝、胰 C.肾、输尿管、膀胱 D.输卵管、子宫、阴道 E.小肠、阑尾、结肠,E.小肠、阑尾、结肠
3267,16,1,4,18. 足趾严重冻伤可致(2.5分),A.干性坏疽 B.湿性不疽 C.气性坏疽 D.干酪样坏死 E.出血性梗死,A.干性坏疽
3268,16,1,4,19. 液化性坏死常发生于(2.5分),A.心      B.肝      C.肺      D.肾      E.脑,E.脑
3269,16,1,4,20. 坏死组织经自然管道排出后留下的空腔称(2.5分),A.瘘 B.窦      C.溃疡     D.空洞       E.糜烂,D.空洞
3270,16,1,4,21. 该图病理诊断为：(2.5分),A.压迫性肾萎缩 B.多发性肾囊肿 C.多囊肾 D.肾发育不良 E.高血压肾,A.压迫性肾萎缩
3271,16,1,4,22. 该图箭头所示为：(2.5分),A.含铁血黄素 B.脂褐素 C.胆红素 D.心肌细胞吞噬所致 E.心肌细胞死亡标志,B.脂褐素
3272,16,1,4,23. 胃黏膜的病理学改变，描述最准确的为：(2.5分),A.水肿 B.黏液样变 C.肠化生 D.玻璃样变 E.病毒感染,C.肠化生
3273,16,1,4,24. 体内消除自由基的酶系统包括(2.5分),A.超氧化歧化酶（SOD）作用 B.GSH-Px  C.过氧化氢酶（CAT） D.以上都是,D.以上都是
3274,16,1,4,25. 肉芽组织的主要成分是：(2.5分),A.中性粒细胞 B.淋巴细胞 C.毛细血管和纤维母细胞 D.巨噬细胞 E.异物巨细胞,C.毛细血管和纤维母细胞
3275,16,1,4,26. 男性，20岁，剧烈运动时，不慎将左踝骨骨折，符合骨折愈合的过程是：(2.5分),A.骨折处由软骨代替 B.骨折处由纤维组织代替 C.骨折处由骨组织代替，但不能恢复原状 D.骨折处经血肿形成、纤维性骨痂、骨性骨痂、骨痂改建几个阶段达到完全愈合 E.毛细血管每日大约延伸0.1-0.6mm,D.骨折处经血肿形成、纤维性骨痂、骨性骨痂、骨痂改建几个阶段达到完全愈合
3276,16,1,4,27. 脂肪变性时，脂滴位于：(2.5分),A.高尔基器 B.线粒体 C.溶酶体 D.内质网 E.胞浆基质,D.内质网
3277,16,1,4,28. 不符合湿性坏疽的描述是：(2.5分),A.合并腐败菌感染 B.具有恶臭味 C.常有全身中毒症状 D.坏疽组织呈污秽黑褐色 E.坏死组织与健康组织之间界限清楚,E.坏死组织与健康组织之间界限清楚
3278,16,1,4,29. 箭头所示的病理学改变，描述最准确的为：(2.5分),A.脂肪变 B.干酪样坏死 C.凝固性梗死 D.玻璃样变 E.脓肿,D.玻璃样变
3280,16,1,4,31. LD50的概念是(2.5分),A.引起半数动物死亡的最大剂量 B.引起半数动物死亡的最小剂量 C.出现半数动物死亡的该试剂组的剂量 D.能引起一群动物50%死亡的剂量（统计值）,D.能引起一群动物50%死亡的剂量（统计值）
3281,16,1,4,32. 评价毒物急性毒性大小最重要的参数是(2.5分),A.LD0 B.LD50  C.LD100 D.LD01,B.LD50
3282,16,1,4,33. 毒物是(2.5分),A.对大鼠经口LD50＞500mg/kg体重的物质 B.凡引起机体功能或器质性损害的物质 C.具有致癌作用的物质 D.在一定条件下，较小剂量即能对机体发生损害作用的物质,D.在一定条件下，较小剂量即能对机体发生损害作用的物质
3283,16,1,4,34. LD50与毒性评价的关系是(2.5分),A.LD50值与毒性大小成正比 B.LD50值与急性阈剂量成反比 C.LD50与毒性大小成反比 D.LD50值与染毒剂量成正比,C.LD50与毒性大小成反比
3284,16,1,4,35. 体内试验的基本目的是(2.5分),A.检测外源化学物的一般毒性 B.检测外源化学物的阈剂量 C.探讨剂量-反应关系 D.为其他实验设计提供数据,A.检测外源化学物的一般毒性
3285,16,1,4,36. 关于毒性，下列说法错误的是(2.5分),A.毒性的大小是相对的，取决于此种物质与机体接触的量 B.毒性较高的物质，只要较小的剂量，即可对机体造成一定的损害 C.毒性是物质一种内在不变的性质，取决于物质的物理性质 D.我们不能改变毒性，但能改变物质的毒效应,C.毒性是物质一种内在不变的性质，取决于物质的物理性质
3286,16,1,4,37. 外源化合物的联合作用类型有(2.5分),A.相加作用 B.协同作用 C.拮抗作用 D.以上都是,D.以上都是
3287,16,1,4,38. 两种或两种以上化学毒物作用于机体表现出独立作用，主要是由于(2.5分),A.化学毒物各自作用的受体、靶不同，出现各自不同的毒效应 B.化学毒物在化学结构上为同系物 C.化学毒物毒作用的靶器官相同 D.化学毒物在对机体毒作用方面存在竞争作用,A.化学毒物各自作用的受体、靶不同，出现各自不同的毒效应
3288,16,1,4,39. 关于脂水分配系数，下列说法正确的是(2.5分),A.在同系化合物中，对于在水中溶解度越大的化合物，由于其较易随尿排出体外，故毒性越小 B.化学物的脂水分配系数越大，则越容易以简单扩散的方式通过细胞膜 C.解离的无极性化合物脂水分配系数较非解离化合物的大 D.脂溶性物质易在脂肪蓄积，故肥胖者对脂溶性毒物的耐受性总是较强的,B.化学物的脂水分配系数越大，则越容易以简单扩散的方式通过细胞膜
3289,16,1,4,40. 甲烷（CH4）若用Cl取代CH4上H后，其毒性最大的是(2.5分),A.CH3Cl B.CH2Cl2  C.CHCl3 D.CCl4,D.CCl4
